@relation delta_ail
@attribute RollRate real [-0.0208, 0.0177]
@attribute PitchRate real [-0.0077, 0.0108]
@attribute currPitch real [-0.0060, 0.041]
@attribute currRoll real [-0.05, 0.051]
@attribute diffRollRate real [-0.0015, 8.2E-4]
@attribute Sa real [-0.0021, 0.0022]
@inputs RollRate, PitchRate, currPitch, currRoll, diffRollRate
@outputs Sa
@data
-0.0051, -2.0E-4, 0.01, 0.0060, -1.1E-4, 2.0E-4
0.0039, -0.0010, 0.0090, -0.0060, 1.6E-4, -2.0E-4
0.0014, 0.0011, 0.0060, 0.01, 2.0E-5, -2.0E-4
-0.0038, -1.0E-4, 0.011, 0.0040, -6.0E-5, 2.0E-4
0.0050, -5.0E-4, 0.0040, 0.014, 3.0E-5, -2.0E-4
0.0049, 0.0038, 0.013, 0.03, -9.0E-5, -1.0E-4
0.0038, 0.0025, 0.0090, 0.01, -1.4E-4, -3.0E-4
-0.0039, 0.0011, 0.0090, -0.029, 1.3E-4, 1.0E-4
-0.0065, 5.0E-4, 0.012, 0.0020, -9.0E-5, 2.0E-4
0.0050, -0.0017, 0.011, -0.0040, 1.3E-4, -1.0E-4
-0.0068, 0.0015, 0.0080, 0.0060, -1.6E-4, 2.0E-4
0.0040, 3.0E-4, 0.01, 0.029, -5.0E-5, -1.0E-4
0.0024, 0.0025, 0.011, 0.011, 0.0, -1.0E-4
-0.0021, 6.0E-4, 0.0060, -0.013, 3.0E-5, 1.0E-4
-0.0029, 0.0019, 0.0050, -0.012, -3.0E-5, 2.0E-4
-0.0034, 8.0E-4, 0.01, -0.01, 1.1E-4, 1.0E-4
0.0043, 7.0E-4, 0.011, 0.013, -9.0E-5, -2.0E-4
0.0050, 6.0E-4, 0.0010, -0.0060, 6.0E-5, -1.0E-4
-0.0041, -0.0013, 0.0050, 0.0060, -1.9E-4, -1.0E-4
0.0034, -0.0023, 0.0030, -0.0060, 1.2E-4, -4.0E-4
0.0045, -2.0E-4, 0.012, 0.01, -3.0E-5, -2.0E-4
-0.0041, -0.0018, 0.0080, 0.012, -1.6E-4, 2.0E-4
0.0083, 0.0012, 0.017, -0.0050, 5.0E-5, -5.0E-4
-0.0033, 0.0017, 0.023, 0.0060, -2.0E-5, 1.0E-4
-0.0031, 0.0029, 0.016, -0.012, -9.0E-5, 6.0E-4
-0.0051, 0.0020, 0.029, 0.012, -1.2E-4, 1.0E-4
-0.0041, 0.0018, 0.0090, 0.0070, -1.0E-5, -1.0E-4
-0.0060, 5.0E-4, 0.022, -0.012, -1.2E-4, 1.0E-4
0.0064, 0.0019, 0.016, 0.01, -1.3E-4, -1.0E-4
0.0085, 1.0E-4, 0.0080, -0.0060, 4.5E-4, -6.0E-4
0.0086, 0.0031, 0.011, 0.014, -4.1E-4, -1.0E-4
-0.0045, 0.0022, 0.019, -0.0020, -1.4E-4, 1.0E-4
-0.0055, -0.0038, 0.011, -0.011, 3.7E-4, 2.0E-4
-0.0069, 0.0015, 0.01, 0.0060, -1.0E-4, 2.0E-4
-0.0054, -0.0012, 0.0090, -0.031, 3.5E-4, 2.0E-4
0.0049, 3.0E-4, 0.0030, -0.032, 4.8E-4, -2.0E-4
0.0061, 0.0, 0.0010, 0.01, 1.0E-4, -3.0E-4
-0.0068, 0.0016, 0.0050, 0.0060, -1.1E-4, 2.0E-4
0.0071, 0.0044, 0.0010, -0.0090, 2.2E-4, -2.0E-4
-0.0075, 3.0E-4, 0.014, 0.0060, -2.8E-4, 7.0E-4
0.0084, -0.0018, 0.0070, -0.0040, 4.6E-4, -9.0E-4
0.0129, 0.0067, 0.0030, 0.0070, 2.0E-5, -3.0E-4
0.0079, 0.0057, 0.014, 0.029, -3.1E-4, -2.0E-4
0.0059, 0.0029, 0.0060, 0.011, -2.0E-4, -1.0E-4
0.0083, -1.0E-4, 0.0040, -0.0040, 3.0E-4, -4.0E-4
0.0048, 5.0E-4, 0.0040, 0.012, 0.0, -1.0E-4
0.0035, 7.0E-4, 0.0060, 0.011, -4.0E-5, -4.0E-4
0.0077, -0.0015, 0.0070, -0.0090, 4.5E-4, -5.0E-4
-0.0078, -0.0022, 0.014, 0.021, -4.6E-4, 5.0E-4
-0.0080, 0.0015, 0.0090, 0.011, -3.8E-4, 3.0E-4
-0.0041, 4.0E-4, 0.017, 0.0, -2.1E-4, 1.0E-4
-0.0128, 9.0E-4, 0.0070, 0.0040, -3.8E-4, 4.0E-4
-0.0061, 0.0024, 0.018, -0.012, -4.0E-4, 0.0012
0.0138, 0.0037, 0.0070, 0.012, 1.3E-4, -5.0E-4
0.0038, 0.0043, 0.013, 0.046, -4.7E-4, -2.0E-4
0.0076, 0.0057, 0.0050, 0.023, -3.9E-4, 2.0E-4
0.0043, 0.0031, 0.017, 0.011, -2.5E-4, -2.0E-4
-0.0034, 0.0022, 0.016, -0.011, 3.9E-4, 2.0E-4
0.0069, 0.0019, 0.0090, 0.0010, 4.9E-4, -4.0E-4
0.0032, 0.0026, 0.0090, 0.027, -4.7E-4, -2.0E-4
0.0141, 0.0072, 0.0040, -0.03, 1.4E-4, -0.0011
-0.0051, 0.0069, 0.017, -0.01, -9.1E-4, 2.0E-4
0.0095, 0.0012, 0.01, 0.022, -4.6E-4, -3.0E-4
0.0053, 0.0054, 0.0060, -0.012, 4.4E-4, -5.0E-4
-0.0125, 0.0017, 0.0050, 0.023, -5.1E-4, 9.0E-4
-0.0155, 0.0046, 0.014, -0.0040, -5.4E-4, 0.0010
0.0128, -0.0023, 0.0090, -0.021, 8.2E-4, -8.0E-4
8.0E-4, 0.0012, 0.0090, 0.029, -8.2E-4, 7.0E-4
0.0050, 0.0023, 0.011, -0.02, 4.4E-4, -3.0E-4
0.0069, 0.0048, 0.012, -0.0050, 9.0E-5, -4.0E-4
0.0079, 0.0016, 0.0020, -0.0040, 1.9E-4, -1.0E-4
0.0030, 0.0022, 0.0030, 0.031, -2.8E-4, -1.0E-4
0.0115, 0.0022, 0.012, 0.034, -1.1E-4, -3.0E-4
-0.0041, 0.0027, 0.0090, 0.0040, -3.4E-4, 3.0E-4
0.0097, 0.0013, 0.01, -0.0060, 3.7E-4, -6.0E-4
0.0036, -0.0045, 0.0060, 0.013, 3.2E-4, -1.0E-4
-0.0093, 0.0041, 0.0050, 0.029, -7.0E-4, 4.0E-4
-0.0055, 0.0047, 0.033, 0.0060, -1.9E-4, 2.0E-4
-2.0E-4, 4.0E-4, 0.027, -0.0040, -1.2E-4, 5.0E-4
-0.0041, 0.0029, 0.028, 0.012, -1.2E-4, -1.0E-4
-0.0038, 5.0E-4, 0.015, -0.028, 2.5E-4, 1.0E-4
-0.0058, 0.0023, 0.018, 0.011, -1.4E-4, -1.0E-4
0.0037, 0.0042, 0.016, -0.016, 1.0E-5, 3.0E-4
0.0038, -1.0E-4, 0.011, -0.014, 6.0E-5, 1.0E-4
-0.0071, 0.0024, 0.01, 0.0060, -1.0E-4, 2.0E-4
5.0E-4, 0.0058, 0.015, 0.011, -3.5E-4, 1.0E-4
-0.0053, -7.0E-4, 0.014, 0.0020, -1.5E-4, 3.0E-4
0.0054, 0.0025, 0.0070, -0.0050, 1.9E-4, -5.0E-4
0.0069, -1.0E-4, 0.0070, -0.0060, 2.1E-4, -2.0E-4
-7.0E-4, -5.0E-4, 0.0030, -0.0090, 1.1E-4, 2.0E-4
0.0071, 0.0041, 0.0060, 0.019, -2.0E-5, -2.0E-4
0.0038, 0.0058, 0.018, 0.032, -1.7E-4, 1.0E-4
0.0080, 0.0021, 0.011, 0.019, -1.0E-5, -1.0E-4
0.0030, 0.0022, 0.0050, 0.028, 0.0, -2.0E-4
-0.0067, 8.0E-4, 0.0080, 0.0030, -2.0E-5, 2.0E-4
-0.0036, 0.0026, 0.011, -0.012, 1.6E-4, 1.0E-4
0.0056, 0.0045, 0.018, -0.0070, 2.0E-5, -5.0E-4
0.0063, 0.0021, 0.013, 0.0090, 3.0E-4, -1.0E-4
0.0102, 0.0041, 0.013, 0.011, -2.8E-4, -1.0E-4
-0.0083, 0.0047, 0.017, 0.0070, -2.4E-4, 0.0010
0.0040, 0.0017, 0.011, -0.01, 4.9E-4, -4.0E-4
0.0074, 0.0058, 0.017, 0.011, -8.0E-5, -5.0E-4
-0.0059, 0.0014, 0.019, 0.0070, -4.0E-5, 4.0E-4
0.0071, 0.0024, 0.01, 0.0090, 1.3E-4, -4.0E-4
-0.0042, 0.0044, 0.015, 0.021, -3.2E-4, 6.0E-4
-0.0103, 0.0021, 0.015, -0.0020, -2.6E-4, 3.0E-4
0.0091, 0.0023, 0.016, -0.0060, 2.7E-4, -5.0E-4
0.0080, 0.0026, 0.019, 0.015, -1.9E-4, -2.0E-4
-0.0068, 0.0012, 0.02, 0.02, -2.8E-4, 9.0E-4
0.0090, -0.0018, 0.014, 0.01, 2.2E-4, -9.0E-4
-0.0102, -0.0015, 0.0090, 0.013, -3.9E-4, 1.0E-4
-0.0133, 0.0019, 0.0090, -0.01, 1.8E-4, 3.0E-4
-0.0049, 0.0014, 0.0080, 0.013, -4.9E-4, 1.0E-4
-0.0105, 0.0026, 0.01, 0.0020, -2.8E-4, 4.0E-4
0.0068, 7.0E-4, 0.013, -0.0090, 1.4E-4, -2.0E-4
0.0054, 1.0E-4, 0.011, 0.011, -1.1E-4, -2.0E-4
0.0055, 0.0037, 0.0080, -0.011, 1.4E-4, -1.0E-4
-0.0092, -2.0E-4, 0.011, -0.011, -2.8E-4, 7.0E-4
0.012, 0.0010, 0.011, -0.0050, 2.0E-5, -1.0E-4
-0.0091, -0.0010, 0.012, 0.0050, -1.3E-4, 3.0E-4
0.0066, 0.0018, 0.011, -0.0080, 1.6E-4, -3.0E-4
0.0054, -0.0014, 0.0090, 0.0, 3.8E-4, -3.0E-4
0.0059, 0.0014, 0.0070, 0.01, 9.0E-5, -4.0E-4
-0.0048, 0.0025, 0.014, 0.016, -2.8E-4, 3.0E-4
-0.0057, 1.0E-4, 0.012, 0.0040, -7.0E-5, 1.0E-4
-0.0055, -6.0E-4, 0.0080, -0.012, 4.0E-5, 2.0E-4
0.0061, -7.0E-4, 0.0020, 0.0050, 2.1E-4, -2.0E-4
-0.0040, 9.0E-4, 0.0090, 0.0050, -5.0E-5, 3.0E-4
-0.0037, 0.0, 0.0090, -0.012, 2.0E-5, 2.0E-4
-0.0093, -6.0E-4, 0.0020, 0.0040, -1.8E-4, 3.0E-4
0.0050, -1.0E-4, 0.011, -0.0070, 1.7E-4, -2.0E-4
-0.0086, 0.0016, 0.011, -0.012, 1.4E-4, 2.0E-4
3.0E-4, 0.0015, 0.0040, 0.027, -3.9E-4, -2.0E-4
-0.0054, 4.0E-4, 0.012, 0.0070, -1.6E-4, 2.0E-4
-0.0053, 0.0024, 0.0090, 0.0070, -1.9E-4, 4.0E-4
-0.0047, 0.0023, 0.013, 0.03, -2.6E-4, 1.0E-4
-0.0092, 3.0E-4, 0.011, 0.0030, -5.0E-5, 2.0E-4
0.0055, 4.0E-4, 0.0090, 0.011, -2.3E-4, -3.0E-4
0.0050, 0.0025, 0.0090, 0.027, -3.7E-4, -3.0E-4
-0.0142, -3.0E-4, 0.013, -0.011, 5.0E-5, 1.0E-4
0.0087, 0.0010, 0.0070, -0.025, 1.4E-4, -1.0E-4
-0.0089, 8.0E-4, 0.013, 0.0080, -2.8E-4, 1.0E-4
-0.0036, 0.0013, 0.0090, 0.0060, -6.0E-5, 1.0E-4
0.0039, 7.0E-4, 0.0050, 0.0070, 7.0E-5, -1.0E-4
0.0082, 0.0014, 0.011, 0.017, -2.2E-4, -2.0E-4
-0.0074, 0.0027, 0.022, 0.0, -1.6E-4, 1.0E-4
-0.0046, -1.0E-4, 0.017, -0.013, 4.5E-4, 1.0E-4
0.0013, 0.0018, 0.011, 0.011, -5.0E-5, -1.0E-4
0.0070, 0.0011, 0.018, -0.0060, 5.0E-4, -0.0013
-0.0051, 0.0016, 0.023, 0.0090, -2.7E-4, 7.0E-4
0.0039, 0.0048, 0.013, 0.01, -2.0E-5, -3.0E-4
0.0087, 0.0045, 0.013, -0.013, 3.8E-4, -2.0E-4
0.0039, 6.0E-4, 0.029, -0.0070, 3.0E-5, -2.0E-4
-3.0E-4, 0.0012, 0.026, -0.02, 7.0E-5, 1.0E-4
-0.0047, 0.0014, 0.014, -0.0010, -1.2E-4, 1.0E-4
-0.0064, 0.0010, 0.011, 0.015, -2.2E-4, 2.0E-4
0.0041, 8.0E-4, 0.01, -0.013, 1.6E-4, -1.0E-4
0.0024, 0.0015, 0.01, 0.01, 8.0E-5, -4.0E-4
0.0049, 0.0030, 0.0080, 0.02, 1.2E-4, -1.0E-4
-0.0038, 0.0019, 0.01, 0.0050, -1.3E-4, 3.0E-4
0.0053, 7.0E-4, 0.011, 0.012, 4.0E-5, -2.0E-4
0.0030, -2.0E-4, 0.01, 0.011, 5.0E-5, -1.0E-4
0.0019, 0.0019, 0.011, 0.027, -3.0E-5, -2.0E-4
0.0038, 0.0028, 0.011, -0.0060, 3.0E-5, -1.0E-4
-0.0015, -0.0010, 0.0060, -0.0090, 4.0E-5, -1.0E-4
0.0035, 0.0014, 0.0070, -0.0070, 2.1E-4, -2.0E-4
0.0060, -3.0E-4, 0.011, 0.018, -4.0E-5, -4.0E-4
0.0055, -0.0018, 0.0040, -0.041, 4.2E-4, -3.0E-4
-0.0045, 0.0026, 0.0060, -0.029, 2.0E-4, 1.0E-4
0.0036, -8.0E-4, 0.0090, -0.015, -1.0E-5, 1.0E-4
0.0067, 0.0019, 0.0060, 0.012, 1.0E-5, -3.0E-4
0.0012, -0.0012, 0.0050, 0.027, -9.0E-5, -2.0E-4
0.0053, 9.0E-4, 0.0080, -0.0010, 1.1E-4, -2.0E-4
0.0031, 0.0020, 0.011, -0.0080, 1.4E-4, -3.0E-4
-0.0047, 0.0014, 0.012, 0.03, -2.0E-4, 1.0E-4
0.0084, 0.0018, 0.0090, -0.0050, 1.7E-4, 1.0E-4
0.0105, 1.0E-4, 0.0070, 0.0080, 1.2E-4, -1.0E-4
0.0060, 0.0, 0.0090, -0.0080, 1.3E-4, -3.0E-4
-0.0091, -7.0E-4, 0.01, 0.0, -3.5E-4, 5.0E-4
-0.0121, -0.0012, 0.013, 0.0060, -2.1E-4, 5.0E-4
0.0026, -6.0E-4, 0.0050, 0.01, 1.0E-5, -3.0E-4
0.0023, 0.0013, 0.0090, 0.01, 8.0E-5, -3.0E-4
-0.0034, 0.0011, 0.011, 0.021, -1.7E-4, 2.0E-4
-0.0035, 0.0011, 0.012, 0.0060, -6.0E-5, 1.0E-4
-0.0091, 0.0023, 0.0080, -0.026, -3.0E-5, 4.0E-4
-0.0033, 8.0E-4, 0.0080, -0.0060, -1.0E-5, 1.0E-4
0.0036, 6.0E-4, 0.019, -0.0080, 4.0E-5, -2.0E-4
0.0048, 0.0, 0.0080, -0.0050, 1.5E-4, 1.0E-4
0.0061, -0.0019, 0.01, -0.017, 1.1E-4, -2.0E-4
0.0027, 8.0E-4, 0.0060, -0.0070, 5.0E-5, -1.0E-4
-0.0063, -5.0E-4, 0.012, 0.0030, -1.0E-4, 1.0E-4
-0.0041, -0.0023, 0.015, 0.0070, -8.0E-5, 2.0E-4
0.0026, 0.0029, 0.0050, 0.01, 1.0E-5, -1.0E-4
-0.0053, -6.0E-4, 0.01, 0.0060, -1.2E-4, 2.0E-4
0.0037, -5.0E-4, 0.011, 0.0, -1.0E-5, -1.0E-4
0.0058, 0.0012, 0.01, -0.0030, 7.0E-5, -1.0E-4
-0.0061, -6.0E-4, 0.0080, 0.0070, -7.0E-5, 2.0E-4
0.0052, 9.0E-4, 0.0070, -0.01, 1.6E-4, -1.0E-4
0.0019, 5.0E-4, 0.01, 0.029, 2.0E-5, -4.0E-4
0.0055, 5.0E-4, 0.0070, -0.0010, 1.0E-5, -1.0E-4
0.0041, -8.0E-4, 0.013, 0.03, -8.0E-5, -1.0E-4
0.0046, -9.0E-4, 0.0010, -0.01, 2.0E-4, -1.0E-4
0.0067, 0.0015, 0.0090, -0.0020, 1.0E-4, -1.0E-4
0.0036, 0.0059, 0.0030, -0.0050, 5.0E-5, -1.0E-4
0.0059, -9.0E-4, 0.0080, 0.0, 5.0E-5, -1.0E-4
0.0040, 2.0E-4, 0.01, -0.0060, 4.0E-5, -1.0E-4
0.0039, -8.0E-4, 0.0050, 0.01, 3.0E-5, -1.0E-4
0.0037, -0.0011, 0.0060, -0.01, 2.0E-4, -1.0E-4
0.0064, 0.0012, 0.0090, 0.0090, 0.0, -1.0E-4
-0.0040, 6.0E-4, 0.0040, 0.0060, -4.0E-5, 1.0E-4
0.0066, 0.0032, 0.019, -0.02, 1.7E-4, -5.0E-4
-0.0076, 0.0013, 0.019, -0.0010, -2.1E-4, 6.0E-4
0.0049, 0.0015, 0.013, 0.013, -7.0E-5, -3.0E-4
0.0040, -1.0E-4, 0.0090, -0.0060, 2.2E-4, -2.0E-4
0.0084, 0.0010, 0.0090, 0.012, -1.4E-4, -2.0E-4
-0.0036, 0.0015, 0.012, 0.023, -3.0E-4, 4.0E-4
-0.0077, 0.0, 0.0080, 0.0030, -2.6E-4, 4.0E-4
-3.0E-4, 0.0013, 0.01, -0.01, 2.8E-4, 1.0E-4
0.0049, 1.0E-4, 0.0090, -0.0070, 3.9E-4, -4.0E-4
0.0058, 0.0017, 0.011, 0.012, -7.0E-5, -2.0E-4
-0.0054, 0.0011, 0.015, 0.013, -1.9E-4, 1.0E-4
-0.0083, -6.0E-4, 0.014, 0.0080, -2.0E-4, 5.0E-4
-9.0E-4, -0.0016, 0.01, 0.04, -5.0E-5, -1.0E-4
-0.0075, 9.0E-4, 0.017, -0.0040, -1.1E-4, 1.0E-4
0.0042, 7.0E-4, 0.011, -0.036, 3.1E-4, -1.0E-4
0.0078, 0.0016, 0.0060, -0.024, 1.9E-4, -2.0E-4
0.0025, 0.0017, 0.0090, 0.011, -4.0E-5, -1.0E-4
0.0092, 0.0030, 0.0080, 0.015, -1.2E-4, -2.0E-4
0.0042, 0.0024, 0.0070, 0.01, -1.0E-5, -3.0E-4
-0.0062, 0.0015, 0.013, 0.0050, -1.6E-4, 2.0E-4
0.0042, 6.0E-4, 0.01, -0.018, 2.9E-4, -3.0E-4
0.0084, 0.0028, 0.0040, 0.015, -1.8E-4, -2.0E-4
-0.0036, 0.0016, 0.018, -0.011, -6.0E-5, 4.0E-4
0.0040, 0.0032, 0.011, 0.0020, 2.2E-4, -2.0E-4
0.0050, 0.0, 0.016, 0.021, -4.0E-5, -3.0E-4
-0.0038, 0.0036, 0.012, 0.0070, -1.8E-4, 3.0E-4
-0.0026, 0.0, 0.017, -0.013, 8.0E-5, 1.0E-4
0.0042, 0.0013, 0.014, -0.0070, 6.0E-5, -2.0E-4
0.0132, 0.0011, 0.0080, -0.021, 3.2E-4, -6.0E-4
-0.0062, 6.0E-4, 0.0080, 0.022, -2.5E-4, 3.0E-4
